 Absolute and relative mass balance error for water and solute transport 

    Time [T]   WatVol [V]  WatBalT [V]  WatBalR [%]  ww [V]  wCumT [V]  WatVol-wVolI[V]   wCumA[V]    Deltaw[V]   TotalRootFlow [V/T]  TotRadialFlow [V/T]
      0.1264  3.23978E+01 -3.09432E-08  5.03245E-05  6.14874E-02  6.14873E-02 -6.14874E-02  6.14873E-02  6.14874E-02  4.62093E-01  4.62093E-01
      0.1287  3.23961E+01 -3.17491E-08  5.02716E-05  6.31551E-02  6.31550E-02 -6.31551E-02  6.31550E-02  6.31551E-02  4.61384E-01  4.61384E-01
      0.1314  3.23943E+01 -3.21662E-08  4.94648E-05  6.50286E-02  6.50285E-02 -6.50286E-02  6.50285E-02  6.50286E-02  4.60586E-01  4.60586E-01
      0.1345  3.23921E+01 -3.32548E-08  4.94784E-05  6.72108E-02  6.72108E-02 -6.72108E-02  6.72108E-02  6.72108E-02  4.59655E-01  4.59655E-01
      0.1376  3.23899E+01 -3.43343E-08  4.94805E-05  6.93895E-02  6.93895E-02 -6.93895E-02  6.93895E-02  6.93895E-02  4.58724E-01  4.58724E-01
      0.1417  3.23870E+01 -3.50008E-08  4.84184E-05  7.22882E-02  7.22882E-02 -7.22882E-02  7.22882E-02  7.22882E-02  4.57483E-01  4.57483E-01
      0.1459  3.23841E+01 -3.56494E-08  4.74182E-05  7.51807E-02  7.51807E-02 -7.51807E-02  7.51807E-02  7.51807E-02  4.56241E-01  4.56241E-01
      0.1500  3.23812E+01 -3.62801E-08  4.64731E-05  7.80670E-02  7.80669E-02 -7.80670E-02  7.80669E-02  7.80670E-02  4.55000E-01  4.55000E-01
      0.1545  3.23781E+01 -3.69309E-08  4.54646E-05  8.12301E-02  8.12301E-02 -8.12301E-02  8.12301E-02  8.12301E-02  4.53636E-01  4.53636E-01
      0.1596  3.23746E+01 -3.90499E-08  4.60844E-05  8.47355E-02  8.47355E-02 -8.47355E-02  8.47355E-02  8.47355E-02  4.52121E-01  4.52121E-01
      0.1646  3.23711E+01 -4.09150E-08  4.63722E-05  8.82318E-02  8.82317E-02 -8.82318E-02  8.82317E-02  8.82318E-02  4.50606E-01  4.50606E-01
